ID,EQUIPO,MARCA,MODELO,N/S,MAC,C/S,S/O,LICENCIA S/O,NOMBRE,CONTRASEÑA,PERIFERICOS,RAM (GB),DISCO (GB),PROCESADOR,IP,UBICACION,C. COSTO1,C. COSTO2,SEC,FECHA COMPRA,PROVEEDOR,N. FACTURA,ESTADO,FECHA DE BAJA,LICENCIA DE OFFICE,LICENCIA DE TECNOCARNE,FECHA DE M.PREVENTIVO,OBSERVACION
1,PERIFERICO,HP,DX-120,X6J93285610540,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
2,PORTATIL,ASUS,X441M,K1N0CV05D442029,,,WIN 10 PRO,SI,JEFECAJAS,,,4 GB,128 GB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
3,TODO EN UNO,LENOVO,lenovo c260,cs02156078,,,WIN 10 PRO,SI,CAJA03,,,4 GB,500 GB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
4,PERIFERICO,NO APLICA,ku-0316,701429,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
5,PERIFERICO,NO APLICA,DX-120,X6G92927302846,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
6,TODO EN UNO,LENOVO,F0CL,YJ005UW9,,,WIN 10 PRO,SI,AUXCONT2,,,8 GB,NO APLICA,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
7,PERIFERICO,LENOVO,sil17-w29,4313229,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
8,PERIFERICO,LENOVO,EMS-537A,704L4615,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
9,EQUIPO DE ESCRITORIO,LENOVO,SAJE00,MJ07108Z,,,WIN 10 PRO,SI,SISTEMAS,,,8 GB,128 GB,INTEL I5,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
10,MONITOR,HP,HP P223,CNK7040LH3,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
11,IMPRESORA,EPSON,TERMICA TM-T88V,MXKF359389,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
12,MONITOR,HP,hpS1933,CNC136NV96,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
13,EQUIPO DE ESCRITORIO,HP,HP compaq pro 6300 sff,MXL2491764,,,WIN 10 PRO,SI,AUXSISTEMAS,,,4 GB,128 GB,INTEL I5,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
